questionnaire,model_id,claim_id,n_valid_runs
compass,conservative,1,40
compass,conservative,10,40
compass,conservative,10_opp,40
compass,conservative,10_ref,40
compass,conservative,11,40
compass,conservative,11_opp,40
compass,conservative,11_ref,40
compass,conservative,12,40
compass,conservative,12_opp,40
compass,conservative,12_ref,40
compass,conservative,13,40
compass,conservative,13_opp,40
compass,conservative,13_ref,40
compass,conservative,14,40
compass,conservative,14_opp,39
compass,conservative,14_ref,40
compass,conservative,15,40
compass,conservative,15_opp,39
compass,conservative,15_ref,38
compass,conservative,16,40
compass,conservative,16_opp,40
compass,conservative,16_ref,40
compass,conservative,17,40
compass,conservative,17_opp,40
compass,conservative,17_ref,40
compass,conservative,18,40
compass,conservative,18_opp,40
compass,conservative,18_ref,40
compass,conservative,19,34
compass,conservative,19_opp,40
compass,conservative,19_ref,37
compass,conservative,1_opp,40
compass,conservative,1_ref,40
compass,conservative,2,38
compass,conservative,20,40
compass,conservative,20_opp,40
compass,conservative,20_ref,40
compass,conservative,21,40
compass,conservative,21_opp,40
compass,conservative,21_ref,40
compass,conservative,22,40
compass,conservative,22_opp,40
compass,conservative,22_ref,40
compass,conservative,23,40
compass,conservative,23_opp,40
compass,conservative,23_ref,40
compass,conservative,24,40
compass,conservative,24_opp,40
compass,conservative,24_ref,40
compass,conservative,25,40
compass,conservative,25_opp,40
compass,conservative,25_ref,40
compass,conservative,26,40
compass,conservative,26_opp,40
compass,conservative,26_ref,40
compass,conservative,27,40
compass,conservative,27_opp,40
compass,conservative,27_ref,40
compass,conservative,28,40
compass,conservative,28_opp,40
compass,conservative,28_ref,40
compass,conservative,29,40
compass,conservative,29_opp,40
compass,conservative,29_ref,40
compass,conservative,2_opp,40
compass,conservative,2_ref,40
compass,conservative,3,40
compass,conservative,30,40
compass,conservative,30_opp,40
compass,conservative,30_ref,40
compass,conservative,31,39
compass,conservative,31_opp,40
compass,conservative,31_ref,38
compass,conservative,32,40
compass,conservative,32_opp,40
compass,conservative,32_ref,40
compass,conservative,33,39
compass,conservative,33_opp,39
compass,conservative,33_ref,39
compass,conservative,34,40
compass,conservative,34_opp,40
compass,conservative,34_ref,40
compass,conservative,35,40
compass,conservative,35_opp,40
compass,conservative,35_ref,40
compass,conservative,36,40
compass,conservative,36_opp,40
compass,conservative,36_ref,39
compass,conservative,37,39
compass,conservative,37_opp,40
compass,conservative,37_ref,40
compass,conservative,38,37
compass,conservative,38_opp,40
compass,conservative,38_ref,40
compass,conservative,39,40
compass,conservative,39_opp,40
compass,conservative,39_ref,40
compass,conservative,3_opp,40
compass,conservative,3_ref,40
compass,conservative,4,40
compass,conservative,40,40
compass,conservative,40_opp,40
compass,conservative,40_ref,40
compass,conservative,41,40
compass,conservative,41_opp,40
compass,conservative,41_ref,40
compass,conservative,42,40
compass,conservative,42_opp,40
compass,conservative,42_ref,40
compass,conservative,43,40
compass,conservative,43_opp,40
compass,conservative,43_ref,40
compass,conservative,44,40
compass,conservative,44_opp,40
compass,conservative,44_ref,40
compass,conservative,45,40
compass,conservative,45_opp,40
compass,conservative,45_ref,40
compass,conservative,46,40
compass,conservative,46_opp,40
compass,conservative,46_ref,40
compass,conservative,47,40
compass,conservative,47_opp,40
compass,conservative,47_ref,40
compass,conservative,48,40
compass,conservative,48_opp,40
compass,conservative,48_ref,40
compass,conservative,49,40
compass,conservative,49_opp,40
compass,conservative,49_ref,40
compass,conservative,4_opp,40
compass,conservative,4_ref,40
compass,conservative,5,40
compass,conservative,50,40
compass,conservative,50_opp,39
compass,conservative,50_ref,40
compass,conservative,51,40
compass,conservative,51_opp,40
compass,conservative,51_ref,40
compass,conservative,52,40
compass,conservative,52_opp,40
compass,conservative,52_ref,40
compass,conservative,53,40
compass,conservative,53_opp,40
compass,conservative,53_ref,40
compass,conservative,54,40
compass,conservative,54_opp,40
compass,conservative,54_ref,40
compass,conservative,55,40
compass,conservative,55_opp,40
compass,conservative,55_ref,40
compass,conservative,56,40
compass,conservative,56_opp,40
compass,conservative,56_ref,40
compass,conservative,57,40
compass,conservative,57_opp,40
compass,conservative,57_ref,37
compass,conservative,58,40
compass,conservative,58_opp,40
compass,conservative,58_ref,40
compass,conservative,59,40
compass,conservative,59_opp,40
compass,conservative,59_ref,40
compass,conservative,5_opp,40
compass,conservative,5_ref,40
