claim_id,claim,label,personality,url,year,tags,axis,party,period
8df76331,"In the U.S., “you’re not allowed to own a machine gun.”",mostly-false,Joe Biden,https://www.politifact.com/factchecks/2023/apr/03/joe-biden/biden-said-you-cant-own-a-machine-gun-you-can-in-m/,2023,Crime; Congress; Guns; National,social,Democrat,23_25
bffb8dc0,Sullivan County “has the highest opioid death rate in all of New York state” yet “it’s the only county in the Hudson Valley not included in the federal High-Intensity Drug Trafficking Area” program.,mostly-true,Charles Schumer,https://www.politifact.com/factchecks/2023/apr/04/charles-schumer/fact-checking-chuck-schumer-sullivan-county-drug-t/,2023,Crime; Drugs; Public Health,social,Democrat,23_25
3537397b,"“Title 42 and other Trump-era holdovers are forcing migrants into dangerous, overcrowded conditions in Mexico.”",mostly-true,Joaquin Castro,https://www.politifact.com/factchecks/2023/apr/05/joaquin-castro/us-policies-and-other-factors-lead-overcrowded-con/,2023,Immigration; Border Security,social,Democrat,23_25
142c5792,Manhattan District Attorney Alvin Bragg “has downgraded over 50% of the felonies to misdemeanors.”,true,Ron DeSantis,https://www.politifact.com/factchecks/2023/apr/08/ron-desantis/are-more-half-felony-charges-manhattan-downgraded/,2023,Criminal Justice,social,Republican,23_25
e43428f2,“The 5 states with the highest gun homicide rates in the nation all have loose gun laws” while “the 5 states with the lowest rates have some of the toughest laws.”,half-true,Chris Murphy,https://www.politifact.com/factchecks/2023/apr/11/chris-murphy/fact-checking-chris-murphy-on-how-much-firearm-law/,2023,Public Health; Guns; Legal Issues,social,Democrat,23_25
16466c53,"When migrants arrived on Martha’s Vineyard, “They called out the National Guard and deported them within 24 hours.”",false,Ron DeSantis,https://www.politifact.com/factchecks/2023/apr/11/ron-desantis/ron-desantis-falsely-said-migrants-deported-from-m/,2023,Immigration; National,social,Republican,23_25
dcf17ec6,“One in 5 Americans has lost a family member to gun violence.”,mostly-true,Kamala Harris,https://www.politifact.com/factchecks/2023/apr/18/kamala-harris/kamala-harris-said-1-in-5-americans-have-lost-a-fa/,2023,Guns; National,social,Democrat,23_25
4aafa8bf,Florida has “the second lowest tax burden per capita in the United States.”,mostly-true,Ron DeSantis,https://www.politifact.com/factchecks/2023/apr/19/ron-desantis/ron-desantis-is-right-florida-has-one-of-the-count/,2023,Economy; Taxes,economic,Republican,23_25
50dafe41,"""In the 1960s, liberals emptied our psych wards.""",half-true,Mike Pence,https://www.politifact.com/factchecks/2023/apr/20/mike-pence/mike-pence-said-liberals-emptied-mental-hospitals/,2023,Public Health; Guns; Health Care,social,Republican,23_25
19055f59,“Fentanyl is the leading cause of death for Americans 18-45.”,mostly-true,Greg Abbott,https://www.politifact.com/factchecks/2023/apr/24/greg-abbott/gov-greg-abbott-says-fentanyl-is-the-leading-cause/,2023,Drugs; Public Health,social,Republican,23_25
0a5f682d,“Many law enforcement agencies didn’t submit their (hate crime) data to the FBI.”,true,Kirsten Gillibrand,https://www.politifact.com/factchecks/2023/apr/25/kirsten-gillibrand/is-kristen-gillibrand-right-that-many-law-enforcem/,2023,Crime; Race and Ethnicity,social,Democrat,23_25
9656b090,“Individuals released from incarceration are 129 times more likely to die of a drug overdose during the first two weeks after release.”,half-true,Paul Tonko,https://www.politifact.com/factchecks/2023/apr/26/paul-tonko/fact-checking-paul-tonko-on-the-risks-of-post-inca/,2023,Criminal Justice; Drugs,social,Democrat,23_25
1ad01ec4,“Consumer confidence is the highest it’s been in years.”,mostly-false,Chris  Coons,https://www.politifact.com/factchecks/2023/aug/03/chris-coons/how-strong-is-consumer-confidence-under-joe-biden/,2023,Economy; Polls and Public Opinion,economic,Democrat,23_25
