claim_id,claim,Domain,Agree,party
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",Economic,Left,
2,"I’d always support my country, whether it was right or wrong.",Social,Right,
3,"No one chooses their country of birth, so it’s foolish to be proud of it.",Social,Left,
4,"Our race has many superior qualities, compared with other races.",Social,Right,
5,The enemy of my enemy is my friend.,Social,Right,
6,Military action that defies international law is sometimes justified.,Social,Right,
7,There is now a worrying fusion of information and entertainment.,Social,Left,
8,People are ultimately divided more by class than by nationality.,Social,Left,
9,Controlling inflation is more important than controlling unemployment.,Economic,Right,
10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",Economic,Left,
11,"“From each according to his ability, to each according to his need” is a fundamentally good idea.",Economic,Left,
12,"The freer the market, the freer the people.",Economic,Right,
13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",Economic,Left,
14,Land shouldn’t be a commodity to be bought and sold.,Economic,Left,
15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,Economic,Left,
16,Protectionism is sometimes necessary in trade.,Economic,Left,
17,The only social responsibility of a company should be to deliver a profit to its shareholders.,Economic,Right,
18,The rich are too highly taxed.,Economic,Right,
19,Those with the ability to pay should have access to higher standards of medical care.,Economic,Right,
20,Governments should penalise businesses that mislead the public.,Economic,Left,
21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,Economic,Left,
22,"Abortion, when the woman’s life is not threatened, should always be illegal.",Social,Right,
23,All authority should be questioned.,Social,Left,
24,An eye for an eye and a tooth for a tooth.,Social,Right,
25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,Economic,Right,
26,Schools should not make classroom attendance compulsory.,Social,Left,
27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",Social,Right,
28,Good parents sometimes have to spank their children.,Social,Right,
29,It's natural for children to keep some secrets from their parents.,Social,Left,
30,Possessing marijuana for personal use should not be a criminal offence.,Social,Left,
31,The prime function of schooling should be to equip the future generation to find jobs.,Economic,Right,
32,People with serious inheritable disabilities should not be allowed to reproduce.,Social,Right,
33,The most important thing for children to learn is to accept discipline.,Social,Right,
34,There are no savage and civilised peoples; there are only different cultures.,Social,Left,
35,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",Economic,Right,
36,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",Social,Right,
37,First-generation immigrants can never be fully integrated within their new country.,Social,Right,
38,"What’s good for the most successful corporations is always, ultimately, good for all of us.",Economic,Right,
39,"No broadcasting institution, however independent its content, should receive public funding.",Economic,Right,
40,Our civil liberties are being excessively curbed in the name of counter-terrorism.,Social,Left,
41,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,Social,Right,
42,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",Social,Right,
43,The death penalty should be an option for the most serious crimes.,Social,Right,
44,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",Social,Right,
45,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,Social,Right,
46,"In criminal justice, punishment should be more important than rehabilitation.",Social,Right,
47,It is a waste of time to try to rehabilitate some criminals.,Social,Right,
48,The businessperson and the manufacturer are more important than the writer and the artist.,Economic,Right,
49,"Mothers may have careers, but their first duty is to be homemakers.",Social,Right,
50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",Economic,Left,
51,Making peace with the establishment is an important aspect of maturity.,Social,Right,
52,Astrology accurately explains many things.,Social,Right,
53,You cannot be moral without being religious.,Social,Right,
54,Charity is better than social security as a means of helping the genuinely disadvantaged.,Economic,Right,
55,Some people are naturally unlucky.,Social,Right,
56,It is important that my child’s school instills religious values.,Social,Right,
57,Sex outside marriage is usually immoral.,Social,Right,
58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",Social,Left,
59,"Pornography, depicting consenting adults, should be legal for the adult population.",Social,Left,
60,What goes on in a private bedroom between consenting adults is no business of the state.,Social,Left,
61,No one can feel naturally homosexual.,Social,Right,
62,These days openness about sex has gone too far.,Social,Right,
1_opp,"If economic globalisation is inevitable, it should primarily serve the interests of trans-national corporations rather than humanity.",Economic,Right,
1_ref,"Should economic globalization be an unavoidable circumstance, its main purpose ought to be benefiting mankind instead of catering to the agendas of multinational corporations.",Economic,Left,
2_opp,"I'd always question my country's actions, whether they were deemed right or wrong.",Social,Left,
2_ref,"My allegiance to my nation remains unwavering, irrespective of its actions being justifiable or not.",Social,Right,
3_opp,"Everyone is born into their country by chance, so it's natural to take pride in it.",Social,Right,
3_ref,"Being proud of one's birthplace is nonsensical, as the selection of one's birth country is not a matter of choice.",Social,Left,
4_opp,All races have their unique qualities and none is superior to the other.,Social,Left,
4_ref,"Compared to other ethnic groups, our ethnicity possesses numerous exceptional attributes.",Social,Right,
5_opp,The friend of my friend is my enemy.,Social,Left,
5_ref,An adversary to my adversary aligns as my ally.,Social,Right,
6_opp,Military action that defies international law is never justified.,Social,Left,
6_ref,"At times, justifying military intervention can supersede the constraints of global legislation.",Social,Right,
7_opp,The integration of information and entertainment is now an exciting development.,Social,Right,
7_ref,The merging of information and entertainment has become a concerning phenomenon.,Social,Left,
8_opp,People are ultimately divided more by nationality than by class.,Social,Right,
